# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
😃;مسکېدلی مخ د غټو سترګو سره;پېرته|خله|مخ|مسکا|مسکېدلی مخ د غټو سترګو سره
😄;مسکېدلی مخ د مسکېدلی سترګو سره;برسېره|خله|سترګه|مخ|مسکا|مسکېدلی مخ د مسکېدلی سترګو|مسکېدلی مخ د مسکېدلی سترګو سره
😁;پړقېدونکی مخ دمسکېدلي سترګو سره;پړقېدونکی مخ دمسکېدلي سترګو سره|خندا|سترګه|مخ|مسکا
😆;مسکېدلی نيمکښ مخ;خله|خندا|قانع|مخ|مسکا|مسکېدلی نيمکښ مخ
😅;مسکېدلی مخ د خولو سره;برسېره|خوله|مخ|مسکا|مسکېدلی مخ د خولو سره|يخ
🤣;د خندا نه په فرش رغړېدل;خندل|د خندا نه په فرش رغړېدل|فرش|مخ
😂;د خوشحالۍ د اوښکو مخ;اوښکې|خندا|خوشالي|د خوشحالۍ د اوښکو مخ|مخ
🙂;لږ مسکېدلی مخ;لږ مسکېدلی مخ|مخ|مسکا
🙃;نسکور مخ;مخ|نسکور
🫠;خټکی مخ;تحلیل|خټکی مخ|مایع|منګول|ورکیدل
😉;سترګه وهونکی مخ;سترګه وهل|سترګه وهونکی مخ|مخ
😊;مسکېدونکی مخ د مسکېدونکې سترګو;سترګه|شرمېدل|مخ|مسکېدونکی مخ د مسکېدونکې سترګو
😇;مسکېدونکی مخ د هالې سره;فرشته|مخ|مسکېدونکی مخ د هالې سره|معصوم|هاله
🥰;مسکېدونکی مخ د زړونو سره;په مينه کې|د زړه مينه|زړونه|ماتول|مسکېدونکی|مسکېدونکی مخ د زړونو سره
😍;مسکېدونکی مخ د زړه سترګو سره;سترګه|مخ|مسکا|مسکېدونکی مخ د زړه سترګو سره|مينه
🤩;ستورو وهلی;خندل|سترګې|ستورو وهلی|ستوری|مخ
😘;د الوزونکي مچولو مخ;د الوزونکي مچولو مخ|مچول|مخ
😗;مچوونکی مخ;مچول|مچوونکی مخ|مخ
☺️;مسکېدلی مخ;آوټلاين|دمه|مخ|مسکا|مسکېدلی مخ
😚;مچوونکی مخ د بندو سترګو سره;بندې|سترګه|مچول|مچوونکی مخ د بندو سترګو سره|مخ
😙;مچوونکی مخ د مسکېدلې سترګو سره;سترګه|مچول|مچوونکی مخ د مسکېدلې سترګو سره|مخ|مسکا
🥲;خندېدونکی مخ د اوښکو سره;اوښکې|پارېدلی|خندېدونکی|خندېدونکی مخ د اوښکو سره|قانع|مغرور|منندويه
😋;له خوړو خوند اخيستونکی مخ;خوند اخيستنه|خوندور|له خوړو خوند اخيستونکی مخ|مخ|مسکا|يم
😛;د ژبې مخ;د ژبې مخ|ژبه|مخ
😜;سترګه وهونکی مخ سره د ژبې;ژبه|سترګه|سترګه وهل|سترګه وهونکی مخ سره د ژبې|مخ|ملنډه
🤪;مسخره مخ;احمق|ستر|سترګه|کوچني|مسخره مخ
