# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;mata fiefia;fiefia|mata|ngutu
😃;mata fiefia moe kanoʻimata lalahi;fiefia|kanoʻimata|mata|ngutu
😄;mata fiefia moe kanoʻimata malimali;fiefia|kanoʻimata|mata|ngutu
😁;mata ina moe kanoʻimata malimali;ina|kanoʻimata|mata|ngutu
😆;mata fiefia moe tetepa;fiefia|mata|ngutu|tetepa
😅;mata fiefia moe tautaʻa;fiefia|mata|ngutu|tautaʻa
🤣;mata kata moe teka faliki;kata|mata|ngutu|teka
😂;mata moe loʻimata fiefia;fiefia|loʻimata|mata|ngutu
🙂;mata kiʻi malimali;malimali|mata
🙃;mata fulihi;fulihi|malimali|mata
🫠;mata vaia;mata|puli|vaia
😉;mata fakakuitaha;fakakuitaha|malimali|mata
😊;mata malimali moe kanoʻimata malimali;kanoʻimata|malimali|mata
😇;mata malimali moe takaniko;malimali|mata|takaniko
🥰;mata malimali moe mafu ʻe 3;3|mafu|malimali|mata
😍;mata malimali moe kanoʻimata mafu;kanoʻimata|mafu|malimali|mata
🤩;mata fetuʻu;fetuʻu|kanoʻimata|mata
😘;mata ʻoku puhi ʻae ʻuma;ʻuma|mafu|mata|puhi
😗;mata ʻuma;ʻuma|mata
☺️;mata malimali;malimali|mata
😚;mata ʻuma moe kanoʻimata kuikui;ʻuma|kanoʻimata|kuikui|mata
😙;mata ʻuma moe kanoʻimata malimali;ʻuma|kanoʻimata|malimali|mata
🥲;mata malimali moe loʻimata;loʻimata|malimali|mata
😋;mataʻi ʻuakai;ʻelelo|ʻuakai|ifo|mata
😛;mata moe ʻelelo;ʻelelo|mata|ngutu
😜;mata kuitaha moe ʻelelo;ʻelelo|kuitaha|mata|ngutu
🤪;mata masoli;ʻelelo|kanoimata|masoli|mata|ngutu
😝;mata tetepa moe ʻelelo;ʻelelo|mata|ngutu|tetepa
🤑;mata ngutu-paʻanga;ʻelelo|mata|ngutu|paʻanga
🤗;mata fāʻufua moe nima-homo;fāʻufua|kula|mata|nima-homo
🤭;mata moe nima ʻi muʻa ʻoe ngutu;ʻufiʻufi|kula|mata|ngutu|nima
🫢;mata matalahi moe nima ʻi muʻa ʻoe ngutu;ʻohovale|mata|ngutu|teteki
🫣;mata moe foʻimata tauasi;foʻimata|ilifia|mata|tauasi
🤫;mata fiemaʻu fakalongolongo;fakalongolongo|mata
🤔;mataʻi fakakaukau;fakakaukau|mata
🫡;mata fetapa;fetapa|mata|salute
🤐;mata moe ngutu meʻa-fakamaʻu-fusi;mata|meʻa-fakamaʻu-fusi|ngutu
🤨;mata moe kemo mahiki;kemo|mahiki|mata
😐;mata noa pē;ʻatā|mata|noa
😑;mata matanoa;mata|matanoa
😶;mata taʻengutu;mata|ngutu|taʻengutu
🫥;mata fakalaine toti;mata|puli|taʻehāmai|toti
😶‍🌫️;mata ʻihe ʻao;ʻao|lotoʻāvea|mata
😏;mata katakata manuki;katakata|manuki|mata
😒;mata taʻefiefia;mata|taʻefiefia
🙄;mata kilokilo;kilokilo|mata
😬;mata mioʻi;ina|mata|mio
😮‍💨;mata hō;fiemālie|hō|mata
🤥;mata moe ihu lōloa;ihu|lōloa|mata
🫨;mata tete;lulu|mafuike|ngalulu|tete
🙂‍↔️;mata kalokalo;kalo|mata|tete
🙂‍↕️;mata kamokamo;kamo|mata|tete
😌;mata fakanongononga;fakanongononga|mata
😔;mata fakalaulauloto;fakalaulauloto|mata
😪;mata fiemohea;fiemohea|hafu|mata
🤤;mata ngutu hafu fāvai;fāvai|hafu|mata|ngutu
😴;mata mohe;mata|mohe
🫩;;
😷;mata moe pūloa fakafaitoʻo;fakafaitoʻo|mata|puke|pūloa
🤒;mata moe meʻafuamafana;mata|meʻafuamafana|puke
🤕;mata moe haʻi lavea;haʻi lavea|mata|puke
🤢;mata kavahia;kavahia|mata|puke
🤮;mata lua;lua|mata|puke
🤧;mata mafatua;fulu|mafatua|mata
🥵;mata vevela;kulokula|mata|vevela
🥶;mata momoko;mata|momoko|pulū
🥴;mata konā;konā|mata
😵;mata ninimo;mata|mate|ninimo
😵‍💫;mata takatakai;mata|ninimo|takatakai
🤯;mata pahū;mata|pahū
🤠;mata moe tatā fakakaupoe;kaupoe|mata|tatā
🥳;mata paati;mata|paati
🥸;mata fakapuli;fakapuli|mata|matasioʻata
😎;mata malimali moe matasioʻatalaʻā;malimali|mata|matasioʻatalaʻā
🤓;mata moe matasioʻata lahi;mata|matasioʻata|ngutu
🧐;mata moe matasioʻata tafaʻaki taha;mata|matasioʻata|taha
😕;mata puputuʻu;mata|puputuʻu
🫤;mata ngutu fakahihifi;fakahihifi|mata|ngutu|taʻepau
😟;mata lotohohaʻa;lotohohaʻa|mata
🙁;mata kiʻi fingo;fingo|mata
☹️;mata fingo;fingo|mata
😮;mata moe ngutu fakamanga;fakamanga|mata|ngutu
😯;mata longo;longo|mata
😲;mata ʻohovale;ʻohovale|mata
😳;mata pahapaha;mata|pahapaha
🫪;;
🥺;mata kole;kole|mata
🥹;mata loʻimata maʻu;lotomamahi|mata|tuʻuaki
😦;mata fingo moe ngutu fakamanga;fakamanga|fingo|mata|ngutu
😧;mata lotomamahi;lotomamahi|mata
😨;mata fakamanavahē;fakamanavahē|mata
