# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;tirjaygan yuz;tirjaygan yuz|tirjayish|xursand|yuz
😃;og‘zini katta ochib kulayotgan yuz;ochiq|og‘iz|og‘zini katta ochib kulayotgan yuz|tabassum|tishlar|yuz
😄;tabassum, og‘iz ochiq, ko‘zlar qisilgan;ko‘z|ko‘zlar qisilgan|ochiq|og‘iz|tabassum|tabassum, og‘iz ochiq, ko‘zlar qisilgan|yuz
😁;tirjaygan yuz, qisilgan ko‘zlar;ko‘z|kulgi|qisilgan ko‘zlar|tabassum|tirjaygan yuz|tirjaygan yuz, qisilgan ko‘zlar|tirjayish|tishlar|xursand|yuz
😆;og‘zini katta ochib kulayotgan yuz va qattiq yumilgan ko‘zlar;axax|ha-ha|hahaha|kulgi|kulgili|kulgu|lol|mamnun|ochiq|og‘iz|og‘zini katta ochib kulayotgan yuz va qattiq yumilgan ko‘zlar|qahqaha|qotdim|tabassum|xursand|yuz
😅;og‘zini katta ochib kulayotgan yuz va sovuq ter;ochiq|og‘zini katta ochib kulayotgan yuz va sovuq ter|sovuq|tabassum|ter|yuz
🤣;qotib kulayotgan;axax|gap yoʻq|haha|juda kulgili|kulayotgan|kulgi|lol|qahqaha|qotib|shod|xandon|xursand|yuz
😂;quvonch ko‘z yoshlari;axax|haha|hahaha|ko‘z yosh|kulgi|kulgili|kulgu|lol|qahqaha|quvonch|quvonch ko‘z yoshlari|xursand|yuz
🙂;yengilgina kulayotgan yuz;tabassum|yengilgina kulayotgan yuz|yuz
🙃;to‘ntarilgan yuz;jilmayish|to‘ntarilgan|yuz
🫠;erib ketayotgan yuz;erib ketayotgan yuz|erish|issiq|kinoya|sarkazm|suyuqlik|uyalish|yo‘qolish
😉;ko‘z qisish;ko‘z qisish|okey|yuz
😊;tabassum va kulib turgan ko‘zlar;ko‘z|qizarish|tabassum|tabassum va kulib turgan ko‘zlar|yuz
😇;tabassum, bosh ustida gardish;begunoh|bosh ustida gardish|ertak|fantaziya|farishta|gardish|jilmayish|tabassum|tabassum, bosh ustida gardish|xursand|yuz
🥰;yurakchalari bor jilmaygan yuz;jilmaygan|kulish|oshiq|sevgi|sevib qolgan|yurakcha|yurakchalari bor jilmaygan yuz
😍;tabassum va yurak shaklidagi ko‘zlar;ko‘z|sevgi|tabassum|tabassum va yurak shaklidagi ko‘zlar|yurak|yuz
🤩;ko‘zlarda yulduzcha;hayajonli|jilmayish|ko‘zlarda yulduzcha|koʻzlar|yulduz|yuz
😘;bo‘sa yuborayotgan yuz;bo‘sa yuborayotgan yuz|o‘pish|yurak|yuz
😗;bo‘sa olayotgan yuz;bo‘sa olayotgan yuz|boʻsa|o‘pish|oʻpich|yuz
☺️;kulayotgan yuz;kulayotgan yuz|tabassum|xotirjam|yuz
😚;bo‘sa olayotgan yuz va yumilgan ko‘zlar;bo‘sa olayotgan yuz va yumilgan ko‘zlar|ko‘z|o‘pish|yumilgan|yuz
😙;bo‘sa olayotgan yuz va kulayotgan ko‘zlar;bo‘sa olayotgan yuz va kulayotgan ko‘zlar|ko‘z|o‘pish|tabassum|yuz
🥲;koʻz yoshi bilan jilmaygan yuz;faxr|jilmayish|koʻz yoshi|koʻz yoshi bilan jilmaygan yuz|minnatdor|ogʻriq|taʼsirlanish|tinchlanish
😋;mazali taomni tatib ko‘rgan til;mazali|mazali taomni tatib ko‘rgan til|oh|shirin|tabassum|tatib ko‘rish|yuz
😛;tilini chiqarib turgan yuz;til|tilini chiqarib turgan yuz|tilni chiqarish|yuz
😜;tilini chiqarib turgan va ko‘zi qisilgan yuz;hazil|ko‘z|ko‘z qisish|til|tilini chiqarib turgan va ko‘zi qisilgan yuz|yuz
🤪;ahmoq yuz;ahmoq koʻzlar|ahmoq yuz|katta koʻz|koʻz|koʻzlar
😝;tilini chiqarib turgan va ko‘zlari qattiq qisilgan yuz;ko‘z|qo‘rqinchli|tatib ko‘rish|til|tilini chiqarib turgan va ko‘zlari qattiq qisilgan yuz|yuz
🤑;og‘zi pul yuz;dollar|og‘iz|og‘zi pul yuz|pul|yuz
🤗;quchayotgan yuz;quchayotgan yuz|quchish|quchoq|yuz
🤭;og‘izni qo‘l bilan yopish;kelishdik|kulgili|maxfiy|og‘izni qo‘l bilan yopish|voy
🫢;ogʻzini qoʻli bilan yopgan yuz;hayrat|ishonchsizlik|nafas olish|ogʻzini qoʻli bilan yopgan yuz|qoʻrqish|qoʻrquv|shok|taajjub|tinch|vahima|xijolat|xushxabar
🫣;moʻralayotgan yuz;berkinish|chirqillash|maftunkor|moʻralash|moʻralayotgan yuz|qoʻrqqan|tikilish|uyalish|uyatchan
🤫;ts-s-s;bu sir|hech kimga aytma|jim|jimlik saqlansin|maxfiy|sir|tinch|ts-s-s
🤔;o‘ylayotgan yuz;o‘ylash|o‘ylayotgan yuz|yuz
🫡;salomlashayotgan yuz;chest berish|ha|ha xonim|harbiycha salomlashish|hurmat|lashkar|ok|okey|omad|salom|salomlashayotgan yuz|xoʼp boʼladi|xoʼp janob
🤐;og‘zi qulflangan yuz;og‘iz|og‘zi qulflangan yuz|qulf|yuz
🤨;qosh chimirilgan yuz;ajablangan|hayron|ishonmayman|qosh chimirilgan yuz|rozi emasman|shubhali
😐;his-tuyg‘usiz;betaraf|his-tuyg‘usiz|hissiz|yuz
😑;his-tuyg‘usiz yuz;his-tuyg‘usiz|ifodasiz|yuz
