# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kanam guy gaññi;gaññi|kanam|kanam guy gaññi
😃;kanam ak gémmiñ gu ubbeeku di muuñ;gémmiñ|kanam|kanam ak gémmiñ gu ubbeeku di muuñ|muuñ|ubbeeku
😄;kanam guy muuñ ak ubbeeku gémmiñ ak muuñ bët;bët|gémmiñ|kanam|kanam guy muuñ ak ubbeeku gémmiñ ak muuñ bët|muuñ|ubbeeku
😁;kanam guy gaññi ak bët yuy muuñ;bët|gaññi|kanam|kanam guy gaññi ak bët yuy muuñ|muuñ
😆;kanam guy muuñ ak ubbeeku gémmiñ ak buñ tëj bët;gémmiñ|kanam|kanam guy muuñ ak ubbeeku gémmiñ ak buñ tëj bët|muuñ|reetaan|satisfied|ubbeeku
😅;kanam guy muuñ ak ubbeeku gémmiñ ak ñàqu tiitaange;kanam|kanam guy muuñ ak ubbeeku gémmiñ ak ñàqu tiitaange|muuñ|ñàq|sedd|ubbeeku
🤣;ree ba xalangu ci suuf;kanam|ree ba xalangu ci suuf|reetaan|suuf|xalangu
😂;kanam gu am rangooñu bànneex;kanam|kanam gu am rangooñu bànneex|mbegte|rangooñ|reetaan
🙂;kanam gu muuñ tuuti;kanam|kanam gu muuñ tuuti|muuñ
🙃;kanam gu dëppu;buñ juutal|kanam|kanam gu dëppu
🫠;kanam buñu jaxase;kanam buñu jaxase|melt|ndoxe|reer|seey
😉;piis benn bët;kanam|piis|piis benn bët
😊;kanamu mbegte ak bët yuy muuñ;bët|kanam|kanamu mbegte ak bët yuy muuñ|mbegte|muuñ
😇;kanam guy muuñ ak serkal ci kawam;feem|kanam|kanam guy muuñ ak serkal ci kawam|léebu fee|malaaka|muuñ|serkal ci kaw|xamul-dara
🥰;kanam bu muuñ ak ay xol;bëgg|kanam bu muuñ ak ay xol|nobaatee|xol|yaqq
😍;muuñ, kanam, xol, bët;bët|kanam|mbëggeel|muuñ|muuñ, kanam, xol, bët|xol
🤩;dóor-biddeew;bët|biddeew|dóor-biddeew|gaññi|kanam
😘;kanam guy ëf fóon;fóon|kanam|kanam guy ëf fóon
😗;kanam guy fóon;fóon|kanam|kanam guy fóon
☺️;kanam guy muuñ;bàyyeeku|fësal|kanam|kanam guy muuñ|muuñ
😚;kanam guy fóon ak bët yu gëmm;bët|buñ tëj|fóon|kanam|kanam guy fóon ak bët yu gëmm
😙;kanam guy fóon ak bëti muuñ;bët|fóon|kanam|kanam guy fóon ak bëti muuñ|muuñ
🥲;kanam buy muuñ ak ragal;beg|buñu laal|fiyeer|kanam buy muuñ ak ragal|kanam buy muuñ ak rongoñ|muuñ|noppalu|rongoñ
😋;kanam, bànneexu, ñeex, ñam;bànneexu|kanam|kanam, bànneexu, ñeex, ñam|melaastiku|muuñ|ñam|neex|ñeex|um
😛;kanam bu ànd ak làmmiñ wuñ tàllal;kanam|kanam bu ànd ak làmmiñ wuñ tàllal|làmmiñ
😜;kanam ak tàllal làmmiñ ak bët buy piis;bët|kaf|kanam|kanam ak tàllal làmmiñ ak bët buy piis|làmmiñ|piis
🤪;kanamu dof;bët|kanamu dof|ndaw|yaatu
😝;kanam ak tàllal làmmiñ ak buñ tëj bët;bët|cafka|kanam|kanam ak tàllal làmmiñ ak buñ tëj bët|làmmiñ|ñaaw
🤑;kanamu gémmiñu xaalis;gémmiñ|kanam|kanamu gémmiñu xaalis|xaalis
🤗;kanamu kottante;kanam|kanamu kottante|kott|kottante
🤭;kanam ak loxo bu dar gémmiñ;dar-gémmiñ|kanam ak loxo bu dar gémmiñ
🫢;kanam bu am ay gët yu ubbeeku ak loxo ci gemmiñ;awe|jaaxle|kanam bu am ay gët yu ubbeeku ak loxo ci gemmiñ|kanam bu am gët yu ubbeeku ak gemmiñ buñu yaatal|ñakka gëm|ragal|tiit
🫣;kanam gu am ay gët yuy gaawantu;buñu teye|gis-gis|kanam bu am ay gët yuy gaawantu|kanam gu am ay gët yuy gaawantu|néeg
🤫;kanamu shuut noppil;kanamu shuut noppil|noppi|shuut
🤔;kanamu guy xalaat;kanam|kanamu guy xalaat|xalaat
🫡;kanam guy niyoo;gurup yi|kanam guy niyoo|naaje|waaw|Waaw-key
🤐;kanam ak gémiñ guñ fermitiir;fermitiir|gémmiñ|kanam|kanam ak gémiñ guñ fermitiir
🤨;kanam ak buñ yëkkati yéen;kanam ak buñ yëkkati yéen|ñaaw-njortu|ñàkka-wóolu
😐;kanam gu ni tekk;fige|kanam|kanam gu ni tekk|neutre
😑;kanam gu melul nenn;bu waxul dara|budul wax dara|gu melul nenn|kanam|kanam gu melul nenn
😶;kanam gu amul gémmiñ;cellaaral|gémmiñ|kanam|kanam gu amul gémmiñ|tekk
🫥;kanam buñu def ay tomb;dëpp|dofe|kanam buñu def ay tomb|kanam guñu def ay tomb|luñu mënul gis|nëbb|reer
😶‍🌫️;kanam ci niir yi;bopp ci niir yi|distrait|kanam ci brouillard bi|kanam ci niir yi
😏;kanam gu bëgg-waccu;bëgg-waccu|kanam|kanam gu bëgg-waccu
😒;kanam gu ñàkk xorom;kanam|kanam gu ñàkk xorom|kontaanul|ñàkk-caaxaan
🙄;kanam guy regeju;bët|kanam|kanam guy regeju|regeju
😬;kanam guy def yëfi golo;kanam|kanam guy def yëfi golo|yëfi golo
😮‍💨;kanam guy nooyi;defaru|kanam guy nooyi|mbiip|nooyi|sëqqët|waxantu|yuxool
🤥;kanamu fenkat;buy fen|kanamu|kanamu fenkat|pinocchio
🫨;kanam guy lox;kanam|kanam guy lox|lox|sok|suuf suy yëngu
🙂‍↔️;bopp buy yëngu ci anam gu tëdd;bopp buy yëngu ci anam gu tëdd|Yëngël sa bopp ci anam gu tëdd
🙂‍↕️;yëngal sa bop ci anam gu taxaw;waaw|yëngal bopp|yëngal sa bop ci anam gu taxaw|yëngal sa bopp ci anam gu taxaw
😌;kanam féex;kanam|kanam féex|noppalu
😔;kanamu kuy xalaat;bari-xalaat|dejected|kanam|kanamu kuy xalaat
😪;kanam guy nelaw;kanam|kanam guy nelaw|nelaw
🤤;kanam guy yuut;guy yuut|kanam|kanam guy yuut
😴;kanam gu nelaw;kanam|kanam gu nelaw|nelaw|zzz
🫩;;
😷;kanam guñ bàndaas;doktor|garab|kanam|kanam guñ bàndaas|mask|sedd|wopp
🤒;kanam gu ànd ak termomeetar;feelaat|kanam|kanam gu ànd ak termomeetar|termomeetar|wopp
🤕;kanam guñ laxas ak bàndaas;bandage|gaañu|kanam|kanam guñ laxas ak bàndaas|naxar
🤢;kanamu guy teey xel;kanam|kanamu guy teey xel|waccu|xel muy teey
🤮;kanam guy waccu;feebar|kanam guy waccu|waccu
🤧;kanamu tissooli;gu jéggi dayo|kanamu|tissooli
🥵;kanam gu tang;ci kanam gu xonq|kanam gu tang|tang|tangoor|yambar|yaqq
🥶;kanam gu sédd;ay galaas|kanam bu bulo|kanam bu sédd|kanam gu sédd|konsélé|sédd|wow
🥴;kanam gu xawa feebar;gemmiñ bu ondulé|gët yu toloowul|jaxasoo|kanam gu xawa feebar|mandi
😵;kanam gu diis;diis|kanam|kanam gu diis
😵‍💫;kanam gu am ay gêt yu rod;jaaxle|jafe-jafe|jaxasoo|kanam bu am ay gët yu rond|kanam gu am ay gêt yu rod|rond|whoa
🤯;bopp buy toj;bopp buy toj|mbettel
🤠;kanam gu sol mbaxane kaboy;kaboy|kanam|kanam gu sol mbaxane kaboy|mbaxane|sàmm-bu-jigéen
🥳;kanam buy feetu;feet|feeté|kanam buy feetu|kanamu feet|kuron|mbaxana
🥸;kanam gu deguisewu;bakkan|buñu xamul|kanam|kanam gu deguisewu|kanam gu nëbêtu|nëbêtu|weer yi
😎;muuñ, kanam, nuwaarfime;bët|jant|kanam|lunet|muuñ|muuñ, kanam, nuwaarfime|neex-deret|nuwaarfime|weer|yànj
🤓;kanamu bëñu lëk;bëgg-masin|kanam|kanamu bëñu lëk|lëk
🧐;kanam ak lunet-bennbët;fatt|kanam ak lunet-bennbët
😕;kanam gu jaaxasoo;jaaxasoo|kanam|kanam gu jaaxasoo
🫤;kanam bi am gemmiñ bu jagonaal;jaaxle|kanam bi am gemmiñ bu jagonaal|kanam gu am gemmiñ bu jagonaal|meh|wooradi|xamadi
😟;kanam gu jaaxle;jaaxle|kanam|kanam gu jaaxle
🙁;kanam gu ànd ak yéen yu xawa lemu;aj-yéen|kanam|kanam gu ànd ak yéen yu xawa lemu
☹️;aj-yéen kanam;aj-yéen|kanam
😮;kanam ak gémiñ gu ubbeeku;gémmiñ|kanam|kanam ak gémiñ gu ubbeeku|sympaty|ubbeeku
😯;kanam guñ juutal;guñ juutal|jaaxle|kanam|kanam guñ juutal|waaru
😲;kanam gu waaru;bu baax|kanam|kanam gu waaru|soke|waaru
😳;kanam gu am tomb yu xonk;bu am tomb yu xonk|kanam|kanam gu am tomb yu xonk|xel mu deppaar
🫪;;
🥺;kanam guy ñaan njegal;bëti xaj|kanam guy ñaan njegal|kanam guy ñaan njeggal|saraxu|yërëmandé
🥹;Kanam guy teye rongoñ;dëgërlu|fiyeer|jooy|kanam gu teye ay rongoñ|Kanam guy teye rongoñ|mer|tiis
😦;kanam gu ànd ak yéen yu lemu ak gémmiñ gu ubbiku;aj ay yéen|gémmiñ|kanam|kanam gu ànd ak yéen yu lemu ak gémmiñ gu ubbiku|ubbeeku
😧;kanam gu xawa jaaxle;kanam|kanam gu xawa jaaxle|xawa jaaxle
😨;kanam guy tiitaleete;kanam|kanam guy tiitaleete|ragal|tiit
😰;kanam ak ubbeeku gémmiñ ak ñàqu tiitaange;baxa|gaawantu|gémmiñ|kanam|kanam ak ubbeeku gémmiñ ak ñàqu tiitaange|ñàq|sedd|ubbeeku
😥;kanamu mbetteel te féex;féex|kanam|kanamu mbetteel te féex|kapris|mbetteel
😢;kanam guy jooy;jooy|kanam|kanam guy jooy|rangooñ|xol-bu-neexul
😭;kanam guy jooy ca kaw;jooy|kanam|kanam guy jooy ca kaw|rangooñ|sob|xol-bu-neexul
😱;kanam guy jooy te tiit;kanam|kanam guy jooy te tiit|ragal|tiit|yëy|yuuxu
😖;kanam gu jaawale;jaawale|kanam|kanam gu jaawale
😣;kanam guy ñafe;kanam|kanam guy ñafe|ñafe
😞;kanam gu am mbetteel;kanam|kanam gu am mbetteel|mbetteel
😓;kanam ak ñaq wu sedd;kanam|kanam ak ñaq wu sedd|ñàq|sedd
😩;kanamu coono;jommi|kanam|kanamu coono|sonn
😫;kanam gu sonn;kanam|kanam gu sonn|sonn
🥱;kanam guy obali;kanam guy obali|kanam guy obbali|obbali|sónn|weet
😤;kanam gu ànd ak saxaaru bakkan;gañe|kanam|kanam gu ànd ak saxaaru bakkan|ndam
😡;kanam guy puucatu;dof|kanam|kanam guy puucatu|mer|puucatu|xonk
😠;kanam gu mer;dof|kanam|kanam gu mer|mer
🤬;kanam ak màndarga ci gémmiñ;kanam ak màndarga ci gémmiñ|waat
