# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ubuso obuhlekayo;hleka|ubuso|ubuso obuhlekayo
😃;ubuso obuncumileyo obunomlomo ovulekileyo;ubuso|ubuso obuncumileyo obunomlomo ovulekileyo|umlomo|uncumo|vulekileyo
😄;ubuso obuncumileyo obunomlomo ovulekileyo namehlo ancumileyo;iliso|ubuso obuncumileyo obunomlomo ovulekileyo namehlo ancumileyo|umlomo|uncumo|vulekileyo
😁;ubuso obuhlekayo obunamehlo ancumileyo;hleka|iliso|ncuma|ubuso|ubuso obuhlekayo obunamehlo ancumileyo
😆;ubuso obuncumileyo obunomlomo ovulekileyo namehlo avalekileyo;eyanelisekileyo|hleka|ubuso|ubuso obuncumileyo obunomlomo ovulekileyo namehlo avalekileyo|umlomo|uncumo|vulekileyo
😅;ubuso obuncumileyo obunomlomo ovulekileyo nombilo obandayo;ebandayo|ubuso|ubuso obuncumileyo obunomlomo ovulekileyo nombilo obandayo|umbilo|uncumo|vulekileyo
🤣;ukugigitheka phantsi;hleka|ubuso|ukugigitheka phantsi|ukuqengqeleka|umgangatho
😂;ubuso obuneenyembezi zovuyo;hleka|iinyembezi|ubuso|ubuso obuneenyembezi zovuyo|uvuyo
🙂;ubuso obuncumileyo kancinane;ncuma|ubuso|ubuso obuncumileyo kancinane
🙃;ubuso obuphethukileyo;ubuso|ubuso obuphethukileyo|ukuphethuka
🫠;;
😉;ubuso obuqoba iliso;qoba iliso|ubuso|ubuso obuqoba iliso
😊;ubuso obuncumileyo obunamehlo ancumileyo;iintloni|iliso|ubuso|ubuso obuncumileyo obunamehlo ancumileyo|uncumo
😇;ubuso obuncumileyo obunesangqa entloko;i-halo|ingelosi|intsomi|msulwa|ubuso|ubuso obuncumileyo obunesangqa entloko|uncumo
🥰;;
😍;ubuso obuncumileyo obunamehlo anentliziyo;iliso|ubuso|ubuso obuncumileyo obunamehlo anentliziyo|uncumo|uthando
🤩;ukothuka;amehlo|inkwenkwzi|ubuso|ukothuka|uncumo
😘;ubuso obuvuthela umncamiso;ncamisa|ubuso|ubuso obuvuthela umncamiso
😗;ubuso obuphuzayo;ncamisa|ubuso|ubuso obuphuzayo
☺️;ubuso obuncumileyo;ibalaseliswe umphandle|ncuma|ubuso|ubuso obuncumileyo|uphumle
😚;ubuso obuphuzayo obuvale amehlo;ilisi|ncamisa|ubuso|ubuso obuphuzayo obuvale amehlo|valiweyo
😙;ubuso obuphuzayo obunamehlo ancumileyo;iliso|ncamisa|ubuso|ubuso obuphuzayo obunamehlo ancumileyo|uncumo
🥲;;
😋;ubuso obunandipha ukutya okumnandi;emnandi|ubuso|ubuso obunandipha ukutya okumnandi|ukunandipha|um|uncumo
😛;ubuso obunyonyoza ulwimi;ubuso|ubuso obunyonyoza ulwimi|ulwimi
😜;ubuso obunyonyoza ulwimi nobuqwabaza iliso;hlekisa|iliso|qwabaza|ubuso|ubuso obunyonyoza ulwimi nobuqwabaza iliso|ulwimi
🤪;ubuso obugulayo;encinane|enkulu|iliso|ubuso obugulayo
😝;ubuso obunyonyoza ulwimi namehlo acimeleyo;embi|iliso|incasa|ubuso|ubuso obunyonyoza ulwimi namehlo acimeleyo|ulwimi
🤑;ubuso obunemali emlonyeni;imali|ubuso|ubuso obunemali emlonyeni|umlomo
🤗;ubuso obangayo;mange|ubuso|ubuso obangayo|ukwanga
🤭;ubuso obubekwe isandla emlonyeni;ubuso obubekwe isandla emlonyeni|whoops
🫢;;
🫣;;
🤫;ubuso obuthulisayo;cwaka|thula|ubuso obuthulisayo
🤔;ubuso obucingayo;ubuso|ubuso obucingayo|ukucinga
🫡;;
🤐;ubuso obuvalwe umlomo ngoziphu;ubuso|ubuso obuvalwe umlomo ngoziphu|umlomo|uziphu
🤨;ubuso obuneentshiya ezinyusiweyo;intandabuzo|ubuso obuneentshiya ezinyusiweyo|ukungathembi
😐;ubuso obunyutrali;ipani elinzulu|nyutrali|ubuso|ubuso obunyutrali
😑;ubuso obungena mvakalelo;engena mvakalelo|obungena mvakalelo|obungenamvakalelo|ubuso|ubuso obungena mvakalelo
😶;ubuso obungenamlomo;cwaka|thuleyo|ubuso|ubuso obungenamlomo|umlomo
🫥;;
😶‍🌫️;;
😏;ubuso obusinekileyo;ubuso|ubuso obusinekileyo|ukusineka
😒;ubuso obungahlekiyo;engahlekiyo|ubuso|ubuso obungahlekiyo|ukungonwabi
🙄;ubuso obunamehlo ajikelezayo;amehlo|ubuso|ubuso obunamehlo ajikelezayo|ukujikeleza
😬;ubuso obujamileyo;ubuso|ubuso obujamileyo|ukujama
😮‍💨;;
🤥;ubuso obuxokayo;u-pinocchio|ubuso|ubuso obuxokayo|xoka
🫨;;
🙂‍↔️;;
🙂‍↕️;;
😌;ubuso obuqabukileyo;ubuso|ubuso obuqabukileyo|ukuqabuka
😔;ubuso obucamngcayo;ubuso|ubuso obucamngcayo|ukucamngca|ukukhedama
😪;ubuso obozelayo;lala|ubuso|ubuso obozelayo
🤤;ubuso obuvuz’ uluchwe;ubuso|ubuso obuvuz’ uluchwe|uvuz’ uluchwe
😴;ubuso obuleleyo;lala|ubuso|ubuso obuleleyo|zzz
🫩;;
😷;ubuso obunesigqubuthelo sonyango;amayeza|isigqubuthelo|ubuso|ubuso obunesigqubuthelo sonyango|ugqirha|ukubanda|ukugula
🤒;ubuso obune-thermometer;i-thermometer|ubuso|ubuso obune-thermometer|ukugula
🤕;ubuso obunebhandeji elisentloko;ibhandeji|ubuhlungu|ubuso|ubuso obunebhandeji elisentloko|umonzakalo
🤢;ubuso obonyanyileyo;obunyanyileyo|ubuso|ubuso obonyanyileyo|umgabho
🤮;ubuso obugabhayo;ubuso obugabhayo|ukugabha|ukugula
🤧;ubuso obuthimlayo;u-gesundheit|ubuso|ubuso obuthimlayo|ukuthimla
🥵;;
🥶;;
🥴;;
😵;ubuso obunesiyezi;isiyezi|ubuso|ubuso obunesiyezi
😵‍💫;;
🤯;intloko edubulayo;intloko edubulayo|wothukile
🤠;ubuso bomnqwazi we-cowboy;i-cowboy|i-cowgirl|ubuso|ubuso bomnqwazi we-cowboy|umnqwazi
🥳;;
🥸;;
😎;ubuso obuncumileyo obuneendondo;ekhanyayo|entle|iiglasi|iindondo|ilanga|iliso|ubuso|ubuso obuncumileyo obuneendondo
🤓;ubuso benkcuba-buchopho;inkcuba-buchopho|ubuso|ubuso benkcuba-buchopho|ungqondongqondo
🧐;ubuso obune-monocle;ubuso obune-monocle|ukuxinana
😕;ubuso obuxakiweyo;ubuso|ubuso obuxakiweyo|xakiweyo
🫤;;
😟;ubuso obuxhalabileyo;ubuso|ubuso obuxhalabileyo|xhalabile
🙁;ubuso obujayileyo kancinane;ubuso|ubuso obujayileyo kancinane|ukufinga iintshiya
☹️;ubuso obufinge iintshiya;ubuso|ubuso obufinge iintshiya|ukufinga iintshiya
😮;ubuso obunomlomo ovulekileyo;ubuso|ubuso obunomlomo ovulekileyo|umlomo|uvelwano|vulekileyo
😯;ubuso obuthuleyo;thuleyo|ubuso|ubuso obuthuleyo|ukothuka|wothukile
😲;ubuso obuthe manga;manga|ngokupheleleyo|ubuso|ubuso obuthe manga|ukothuka
😳;ubuso obuneentloni;iintloni|ubuso|ubuso obuneentloni|ukuncithekisa
🫪;;
🥺;;
🥹;;
😦;ubuso obufinge iintshiya obuvule umlomo;finga iintshiya|ivulekile|ubuso|ubuso obufinge iintshiya obuvule umlomo|umlomo
😧;ubuso obulusizi;ubuso|ubuso obulusizi|usizi
😨;ubuso oboyikayo;iyoyikeka|ubuso|ubuso oboyikayo|ukoyika|uloyiko
😰;ubuso obunomlomo ovulekileyo nombilo obandayo;balekisa|ivulekile|luhlaza|ubuso|ubuso obunomlomo ovulekileyo nombilo obandayo|ukubanda|umbilo|umlomo
😥;ubuso obudanileyo kodwa obuqabukileyo;danileyo|eshee|ubuso|ubuso obudanileyo kodwa obuqabukileyo|ukuqabuka
😢;ubuso obulilayo;dakumba|iinyembezi|lila|ubuso|ubuso obulilayo
😭;ubuso obulilayo ngokuvakalayo;befunyeka|dakumba|iinyembezi|lila|ubuso|ubuso obulilayo ngokuvakalayo
😱;ubuso obutswinayo luloyiko;fukutha|tswina|ubuso|ubuso obutswinayo luloyiko|ukoyika|ukoyikeka|uloyiko
😖;ubuso obubhidekileyo;obubhidekileyo|ubuso
😣;ubuso bokunyamezela;nyamezela|ubuso|ubuso bokunyamezela
😞;ubuso obuphoxekileyo;phoxekile|ubuso|ubuso obuphoxekileyo
😓;ubuso obunombilo obandayo;ubuso|ubuso obunombilo obandayo|ukubanda|umbilo
😩;ubuso obudiniweyo kakhulu;ubuso|ubuso obudiniweyo kakhulu|ukudinwa|ukudinwa kakhulu
😫;ubuso obudiniweyo;ubuso|ubuso obudiniweyo|ukudinwa
🥱;;
😤;ubuso obunomphunga ophuma empumlweni;phumeleleyo|ubuso|ubuso obunomphunga ophuma empumlweni|uloyiso
😡;ubuso obutsolise umlomo;bomvu|tsolisa umlomo|ubuso|ubuso obutsolise umlomo|ukubhabhama|ukucaphuka|umsindo
😠;ubuso obunomsindo;ingqumbo|ubuso|ubuso obunomsindo|umsindo
🤬;ubuso uboneesimboli emlonyeni;ubuso uboneesimboli emlonyeni|ukuthuka
😈;ubuso obuncumileyo obuneempondo;iimpondo|iingcinga|intsomi|ubuso|ubuso obuncumileyo obuneempondo|uncumo
👿;ubuso obunomsindo obuneempondo;idemoni|iingcinga|intsomi|ubuso|ubuso obunomsindo obuneempondo|umtyholi|usathanyana
💀;ukakayi;intsomi|irhamncwa eloyikekayo|ubuso|ukakayi|ukufa
☠️;ukakayi namathambo anqamlezileyo;amathambo anqamlezileyo|irhamncwa eloyikekayo|ubuso|ukakayi|ukakayi namathambo anqamlezileyo|ukufa
💩;imfumba yelindle;ehlekisayo|ilindle|imfumba yelindle|irhamncwa eloyikekayo|ubuso|ulongwe
🤡;ubuso bomhlekisi;ubuso|ubuso bomhlekisi|umhlekisi
👹;izim;iingcinga|intsomi|irhamncwa eloyikekayo|isidalwa|izim|ubuso
👺;uthikoloshe;iingcinga|intsomi|irhamncwa eloyikekayo|isidalwa|ubuso|uthikoloshe
👻;isiporho;iingcinga|intsomi|irhamncwa eloyikekayo|isidalwa|isiporho|ubuso
👽;engaqhelekanga;engaqhelekanga|eyeyasehlabathini|i-ufo|iingcinga|intsomi|irhamncwa eloyikekayo|isidalwa|ubuso
👾;irhamncwa elingaqhelekanga;engaqhelekanga|eyeyasehlabathini|i-ufo|iingcinga|intsomi|irhamncwa elingaqhelekanga|irhamncwa eloyikekayo|isidalwa|ubuso
🤖;ubuso berobhothi;irhamncwa|irobhothi|ubuso|ubuso berobhothi
😺;ubuso bekati encumileyo enamehlo anentliziyo;ikati|ivulekile|ubuso|ubuso bekati encumileyo enamehlo anentliziyo|umlomo|uncumo
😸;ubuso bekati obuhlekayo obunamehlo ancumileyo;hleka|ikati|iliso|ubuso|ubuso bekati obuhlekayo obunamehlo ancumileyo|uncumo
😹;ubuso bekati obuneenyembezi;iinyembezi|ikati|ubuso|ubuso bekati obuneenyembezi|uvuyo
😻;ubuso obuncumileyo bekati obunamehlo anentliziyo;ikati|iliso|ubuso|ubuso obuncumileyo bekati obunamehlo anentliziyo|uncumo|uthando
😼;ubuso bekati obunoncumo olugoso;goso|ikati|impoxo|ubuso|ubuso bekati obunoncumo olugoso|uncumo
😽;ubuso bekati encamisayo evale amehlo;ikati|iliso|ncamisa|ubuso|ubuso bekati encamisayo evale amehlo
🙀;ubuso bekati ediniweyo;ikati|o|ubuso|ubuso bekati ediniweyo|ukothuka|ukudinwa kakhulu
😿;ubuso bekati elilayo;iinyembezi|ikati|lila|ubuso|ubuso bekati elilayo|ukudakumba
😾;ubuso bekati etsolise umlomo;ikati|ubuso|ubuso bekati etsolise umlomo|ukutsolisa umlomo
🙈;inkawu evale amehlo;bona|ethintelweyo|eyalelweyo|hayi|inkawu|inkawu evale amehlo|nakanye|ububi|ubuso
🙉;inkawu evale iindlebe;ethintelweyo|eyalelweyo|hayi|inkawu|inkawu evale iindlebe|nakanye|phulaphula|ubusi|ubuso|umjekulo
🙊;inkawu evale umlomo;ethintelweyo|eyalelweyo|hayi|inkawu|inkawu evale umlomo|nakanye|thetha|ubusi|ubuso|umjekulo
💌;ileta yothando;ileta|ileta yothando|intliziyo|iposi|uthando
💘;intliziyo enotolo;intliziyo enotolo|u-cupid|utolo
💝;intliziyo eneribhoni;i-valentine|intliziyo eneribhoni|iribhoni
💖;intliziyo ekhazimlayo;imincili|intliziyo ekhazimlayo|khazimla
💗;intliziyo ekhulayo;imincili|intliziyo ekhulayo|ukhulayo|ukubetha kwentliziyo|ukuphakuzela
💓;intliziyo ebethayo;intliziyo ebethayo|ukubetha|ukubetha kwentliziyo
💞;iintliziyo ejikelezayo;ejikelezayo|iintliziyo ejikelezayo
💕;iintliziyo ezimbini;iintliziyo ezimbini|uthando
💟;umhombiso wentliziyo;intliziyo|umhombiso wentliziyo
❣️;isikhuzo sentliziyo enzima;isikhuzo|isikhuzo sentliziyo enzima|isiphumlisi|uphawu
💔;intliziyo eyaphukileyo;aphula|intliziyo eyaphukileyo|yaphukile
❤️‍🔥;;
❤️‍🩹;;
❤️;intliziyo ebomvu;intliziyo|intliziyo ebomvu
🩷;;
🧡;intliziyo eorenji;intliziyo eorenji|orenji
💛;intliziyo emthubi;intliziyo emthubi|mthubi
💚;intliziyo eluhlaza;intliziyo eluhlaza|luhlaza
💙;intliziyo ebhlowu;bhlowu|intliziyo ebhlowu
🩵;;
